Text,Sentiment
,
in Thanks Anudeep Escalation team for amazing response You guys are have finally did it Trust restored swiggy,positive
,
in thanks for bringing such issues to our notice Request you to please visit amp register your complaint at Food Safety Connect an online portal managed by FSSAI for redressing consumer grievances Your complaint will be redressed appropriately,positive
,
in Very poor service This is unacceptable,negative
,
I witnessed a Swiggy delivery of an Idli breakfast from a neighboring restaurant at 7 15am today And it happened in Chennai where 80 of the population eats home made Idlis every day If this is not Kaliyug what is ShivaShiva WhatIsHappeningChennai,neutral
,
Okay so the weird part is I m getting swiggy advertisements on pornhub The weirder part is I m enjoying them,positive
,
Thanks for express reply like your delivery Swiggy like a mail after drafting the order send and instant get Food in our door step inbox,positive
,
RT kashyap in Best time to boycott in,positive
,
I am from Dindigul 624001 possible to start your service in Dindigul swiggy,neutral
,
91Chinmay in Accept our apologies for the disappointment caused Chinmay We are working on this and will resolve this shortly,negative
,
RT IND in I had order sweet which very cold and hard in nature uber should have return and refund polic,negative
,
in Bahut galat hai ye to,neutral
,
in please note that issues with MRP are not handled by FSSAI Request you to kindly write to State Legal Metrology Dept under Ministry of consumer affairs for redressal of such issues,positive
,
RT Zomato ka bada bhai Swiggy,neutral
,
S1NGH All of them do it in deducted 75 rupees just for cancelling an order just because it was prepaid and they cud deduct so they deducted Same problem the App took office address in place of home I explained to rhe Customer care women but to no avail,neutral
,
Uninstalled swiggy UE FP Zomato enough of gaining weight,neutral
,
in That s they make money by conning you and become celebrated startup icons and be a role model for other startups It s one big big con job,positive
,
Losses at Paytm Flipkart MakeMyTrip India Swiggy and Zomato stood at 7 800 crore in FY2018 pity on management Investors Eh corporate entrepreneurs musings,negative
,
A big thanks to my boys in for coming to Goa and sorting my life out,positive
,
Business Five of India s best funded startups lost over a billion dollars in 2018,positive
,
RT in Calling britishbrewingcompany was a fail too cus they were ready to start a blame game with swiggy,negative
,
Zomato Offer Code BFAST40 Total Max Discount 100 RT if it s working TuesdayThoughts TuesdayMotivation foodpanda Zomato swiggy UberEATS food,neutral
,
in Thank you for the fast resolution,positive
,
RT in Frankly we just did not have the courage to touch that pizza let alone measure it I couldn t find,neutral
,
in started in Goa Panaji,neutral
,
RT internet and online shopping,neutral
,
Five of India s best funded startups lost over a billion dollars in 2018 via,positive
,
Swiggy will make it soggy in travel no,neutral
,
RT saurav Evolution of Food Delivery apps 2016 Get Food delivered to your home 2017 Get food 25 percent off on your firs,neutral
,
RT DJ DJ,neutral
,
5 ROCK DJ DJ free DJ HOTEI a k a,positive
,
india in Hey folks unfortunately it s taking ages My ask looks to be an herculean task Very much disappointed,negative
,
in Account name is abhi nav but female picture it s fake account,negative
,
in,neutral
,
The police has to enforce the laws but I don t see that happening Mumbai traffic violations are increasing and Mumbai police is turning a blind eye Get the swiggy amp zomato bikes of the footpaths Do your job Mumbai police,negative
,
In other country getting gas is simple Open gas app App will take your location select gas type pay the money and gas is delievered to you Like we do in swiggy or Zomato Here getting gas is so difficult I dont know god has given brain Are you guys using tht brain,negative
,
Here s what s wrong with this ad YOUR PERSPECTIVE About time to digest ads showing women as people with interests prioritizing self casually lazy AND PROGRESSIVE ENOUGH TO ORDER FOOD FROM AN APP Not born to cater your food demands,negative
,
S1NGH Use in instead,neutral
,
Can you start delivery services for Savali Nigdi Pune It s listed on Zomato app but doesn t deliver Said restro does deliver on Swiggy Kindly can you start services for Zomato too,positive
,
Frustrated again if swiggy are right than why didn t provide cc toll free number only chat or tweeter is not best solution it s a bad decisions,negative
,
Really but I don t know which kind of transparency you have applied for different customers Only ignore can apply for swiggy that s not good for swiggy,positive
,
Five of India s best funded startups lost over a billion dollars in 2018 via,positive
,
how can some restaurants on swiggy have medu vadai dosa and idly obvs that means sambar is there but not sambar vadai You have vadai You have sambar Why is sambar vadai not available,negative
,
RT swiggy zomato 8 10,neutral
,
Mee lanti celebrities vellaleru akkadki Swiggy cheskondi,neutral
,
kashyap in Best time to boycott in,positive
,
Swiggy Zomato,neutral
,
Startups in India are still focused more on grabbing market share than controlling their costs There s pride and ego associated with Flipkart being larger than Amazon and Ola being,positive
,
Where is the update that you were going to come up with You have the worst customer service in,negative
,
The bigger you grow the more you lose Could someone explain this to me as I don t seem to understand This is business or charity startups funding startupstrategies businessandmanagement leadership business analytics ent,positive
,
is this what you call large and medium fries I love that I got ripped off I paid extra for a large to get less than a medium,positive
,
RT GANG PARADE EMPiRE 11 24 E BeanS 11 00 17 00 GANG PARADE EMPiRE TiCKET 1,negative
,
in the food I got a call that the restaurant is closed and also to mention it s a repetitive instance n never work in mistakes you guys are sponsoring big brands like bigboss12 and the others but actually you don t deserve to be in the business,negative
,
in of 35 mints till one n a half hour food wasn t delivered and I was chatting to a representative who lied to me that they have assigned another rider because the previous one didn t answer the call n again after a long wait for 2 hours waiting for,negative
,
in swiggy should be shut down effectively you guys are fradulent and unprofessional to the core me as a customer will show you soon how a company is sued for making fake promises tithe client placed an order mentioned in the app for a delivery,negative
,
RT I stopped accepting orders from in at 4 8pm today recd a mail from swiggy aswell for the same But then to I rece,neutral
,
Evolution of Food Delivery apps 2016 Get Food delivered to your home 2017 Get food 25 percent off on your first order 2018 Get Biryani at only 89 rupees 2025 Bhaiya ek Launda bhejenge aapko haath se dal chawal khila ke jaega aachar ke sath Swiggy Zomato,positive
,
rahu IND Yeah the always say that we will verify with the restrau and let you know tge status Swiggy is much better than this,positive
,
I ve used so many food delivery apps but yet to see one as throughly unprofessional as in The food never got delivered for which they insisted I pay beforehand And their cunt of a customer service put me on hold for 10 minutes Thieving motherfuckers,positive
,
swiggy I had placed an order 25125320495 If you are not able to deliver food due to bla bla reasons You should not deduct customers money as cancellation fee swiggy we pay you and stay hungry Wow what a service,negative
,
RT in total failure in delivery delivery after 3 hr expired product after delayed delivery height of lo,negative
,
Wow that s great why I haven t thought about it in Now will decide if customer wants the order or he wants to cancel it,positive
,
in Your delivery boys don t follow traffic rules faster delivery of food They do rash drive which is really terible And the most imp thing is they use mobile phones while driving Plz have a look and take action on it,positive
,
RT Dear it s been 3days since placed order at in food is still being prepar,neutral
,
in Few things has not been taken serious to look into the safety of commuter and the delivery boy itself I stay in Hyderabad and I observed a lot of disturbance in the road by all your delivery boys,negative
,
Unresponsible swiggy company amp HIS tweeter amp cc executives,neutral
,
in Hi I really appreciate your innovative ideas to deliver the food at doorsteps and you all achieved a good name for delivering your order faster than before looking at customer satisfaction Few things has not,positive
,
In these kinds of authorities like block is not swiggy authority this is customer insulted also not judgment,neutral
,
in fassos offering 40 off on 199 to one person and 40 off on 399 to another person And when i cancel the order on this malpractice i am charged with a cancellation fee of rs 75 Thats unfair,negative
,
in I ask questions to Indian govt please disqualified SWIGGY type of companies in India whose customer care number not so proper also ignore or block USEFUL CUSTOMERS,positive
,
in Today is a competitive time for online companies my thinking foodpanda Zomato is decrease repo of swiggy because swiggy didn t maintain service for customers also ignore them,neutral
,
in Please explain to me what this means as I have not received any response can you see I responded back 1 min ago GET SOME HUMANS ON YOUR CHAT SUPPORT I m tired of talking to your stupid AI bots since days,negative
,
in is your Tag line Hunger Saviour would really appreciate if you can change the tag line to Hunger Tormentor,positive
,
Just for amazon and Swiggy idiot And Mom s account,negative
,
Somebody Explain to me how this is sustainable Someday when it all comes crashing down everyone from employees supply chains cab drivers vendors consumers to founders and investors all your effort and time are for naught,negative
,
in yesterday s order still awaiting restaurant confirmation,neutral
,
kon bey Just get a 3 month Spotify premium Amazon prime pornhub premium and Swiggy plus subscription no Way more worth than a guy imho,positive
,
gotohell in swiggy,neutral
,
Tinder review Swiggy has been a bae,neutral
,
in worst customer service ever pls check the below video,negative
,
kon bey Tinder review or Swiggy,neutral
,
RT swiggy zomato food panda mere teen anmol ratan,negative
,
Just stop this nonsense DM tweet I already tweeted you I don t think in is serious enough to do business despite being worst service across Mumbai Now I am enjoying and it is the best,positive
,
in Waste services just wait and wait for hours for you food at the end order getting cancelled,negative
,
in I can t eat this food and when I am asking take back this food I can eat only veg executive denying and asking me to order again and pay again m at midnight keeping people hungry,neutral
,
in I ordered Kadhi Chawal vegetarian food from Bowl Company and not only restaurant got changed but also I got non vegetarian food and when I complained person like same repetitive thing system is showing this some super bug in order no 25123269464,negative
,
in I order 2 bottles of cold drink for 50 each which has MRP of 35 each Had a talk with Mr Shahnawaz from swiggy team but he refused to solve my problem When I asked him to take the order away he refused to do so as well This is the 3rd time,negative
,
This happens 2nd time in the week Closed the kitchen Yet receiving in orders nt done,negative
,
Ordered sambar rice in in and got below one When contacted they are telling this is sambar rice Even tried mailing them no response Disappointed by my first experience with in,negative
,
in One of the person told they will be contacting me in next 24 hrs hope so they call the customer service of swiggy handles an issue in a very poor way swiggy Just looking to make money without good service order no 25091146031,positive
,
Pathetic Service Ordered food at 11 27 PM on 12th Nov Which was suppose to delivered it 30min Which I didn t Recvd till Yet But now on APP it show that it hasbeen delivered to me ZomatoShame EpicFail While in amp Companies r doing Well,negative
,
asked for full refund they gave Rs 30 coupon only After this i opened the lunch and only rice was present in a paneer lababdar dish Then further i chated with customer service to ask for refund but nothing happened Chated several time they were not serious,positive
,
amarinder In the end it would be in who would recruit youth for home delivery amp you will raise heavy claims DhokhebaazMaharaja,negative
,
in IND No reply from shameful swiggy,neutral
,
in ordered food today from bowl company owned by swiggy The delivery person delivered food to guard without calling me once When i didnt receive order for long i called customer care amp asked for full refund as it was mentioned in app 30 mins delivery,positive
,
in why you people dont informed that price showing in your app is not as per the menu of restaurants above all you dont provide bill to check the same i have noticed that you dont send restaurant bill so you can manipulate menu price,neutral
,
RT 2nd time I felt like crying when Sree was washing utensils He has achieved so much in life and in Bigg Boss,neutral
,
2nd time I felt like crying when Sree was washing utensils He has achieved so much in life and in Bigg Boss he is treated like this 1st time Diwali day when Sree didn t eat Swiggy food as moron KV KVB told Sree ho gaya ab ja ker so jao I felt the pain Sreesanth BB12,negative
,
Already told u guys over phone Can t explain repetedly We have other options here in,negative
,
in Not saying anywhere that s it s your mistake But please keep a strict tab on the restaurant you tie up Serving cockroachs in meal is no where done My sincere request is to ask this restaurant FOODISHQ to call amp apologise for this pathetic quality of food they serve,negative
,
in Wow such a great thing happened tonight See images for a small little cockroach inside the aalo sabzi which I ordered with 4 pcs of poori from a 4 star rated restaurant FOOD ISHQ here in bangalore CV RAMAN nagar branch Following a great refund of 90 bucks,positive
,
,neutral
,
in Calling britishbrewingcompany was a fail too cus they were ready to start a blame game with swiggy They bluntly refused to acknowledge their packaging mistakes,negative
,
in Frankly we just did not have the courage to touch that pizza let alone measure it I couldn t find BritishBrewingCompany on twitter cus it would roast the Shit out of them They were equally at fault tbh,negative
,
RT news Upadhye Same with every restaurant It s not,neutral
,
RT Swiggy delivery guys wildin,neutral
,
Swiggy delivery guys wildin,neutral
,
in 25 minutes after restaurant accepts order the order is cancelled Howzzthat And no action from swiggy,negative
,
RT I think someone has opened an aitel payment bank account using my number got an OTP saying whether I wanted to share th,neutral
,
in Didn t know you were delivering for Hell s Kitchen Pizza came to me on a wheelie it seems,neutral
,
in order id 25116425278 not yet delivered we are waiting since last 2 hours why we didn t get it bullshit services,neutral
,
Hi team swiggy how long you need time to solve small account settlement Dear customers kindly place your food orders online with UBER Eats not on swiggy because we are not supply food to swiggy till my Accounts issue resolve,positive
,
in ordered a box for 6 assorted donuts from swiggy today received only 5 pieces of donut need to know did you or your delivery boy ate one D and when I am calling to your customer care they are saying they can t do anything lol seriously is this your service,positive
,
in Maybe in delivered someone else s order How can they be exonerated from a crime committed under the Legal Metrology Act without a proper police investigation,positive
,
Order no 3978128382951627I faced horrible experience with Swiggy I ordered from Chaayosversova desi chai the cost is 174 for 2 small cups which you can t even drink because of too much chai Patti in it was so bitter amp chana chaat price is 150 in which you get insects,negative
,
Food delivered by in,neutral
,
horrible service Ordered a Hyderabad biryani from from DLF phase 4 and the order was cancelled after it was accepted I had been waiting from 30 minutes for the food Support Is this how you leave your customers hanging is better,negative
,
pathetic service in delivery boy not recieving call very slow after high promotion service is baseless i am disappointed with in,negative
,
RT in Seems like you ve been served a leftover pizza I wonder why the government doesn t take a,neutral
,
RT in Hahahaha that s literally Dogs breakfast,positive
,
RT in Swiggy must be bycott and banned It s their culture to Cheat amp Repeat,neutral
,
RT in placed order at 0830 and now its 1020 Ur customer care monkeys are following scripte,neutral
,
Thanks a ton your customer service is much much better then zomatoaftwr yesterday s experience I have uninstalled the Zomatoapp from my amp family members phone as well Zomatocheats thanks Swiggy,positive
,
in very bad experience Your order 25115446476 has been cancelled A cancellation fee of Rs 75 0 will be added to your next order Order is cancelled by restaurant so why should I pay cancellation free My address was absolutely perfect and complete Stop looting,positive
,
in They saved themselves from going to jail Ask them to thank you and compensate properly,negative
,
RT in This Is Outrageous Looks Like The Chef amp Delivery Boy Both Are To Be Blamed,negative
,
in Just rearrange the pizza pieces in a circle place a ruler measuring tape along the diameter clearly showing the measurement and take a pic Voila crime proved,positive
,
in If it was supposed to be a 13 inch pizza then this is less than the quantity you purchased Hence you can get them booked under the Legal Metrology Act,positive
,
delivers terrible food and then tries to escape the issue by sending nonsense replies on email I got no refund for the horrible food I didn t eat Switching back to in must take action to improve this and help customers get better food or refund pls,negative
,
RT in Yes It s supposed to be a 13inch pizza Both concerned parties BBC Viviana thane and Swiggy has de,neutral
,
in order was cancelled automatically without any intimation and after follow up for refund with delayed response from Executive Tanveer he is telling that I have been issued Coupon and also charged with a cancellation fee of 75 worse pathetic,negative
,
in IND Mujhe bhi bula lio party karke fir order karenge,neutral
,
in please let me know when I will get my order Hope it is confirm Just worried a bit as it s still not dispatched amp it s almost 25 mins I have placed d order amp it s going to be 11pm amp closes that time Please deliver my order,neutral
,
in IND Bhai agle bar cash mis mangaunga and fir bataunga inhe jhilsana kise kehte j,neutral
,
in Bhai kutte hai mast likha hai Try IND it s really gud,positive
,
in Today a well educated came to deliver my food at my Door step My dilema is that shall I feel happy abt ppl getting employment or get sad abt educated ppl are settling down on jobs like delivering food What say,positive
,
After making us wait for 2 hours it s a task getting the refund as well now Great service Please learn a bit from in,positive
,
in check the level of your chat support 2 transactions failed on October 10 I reordered with cash Now I am not getting refund On Oct 29 your person says refund was person says it was processed on Oct 10 Bank has not received refund,negative
,
Time to uninstall in app you just lost a customer not coming back thanks for your unkind service Frustrated customer Gaurav,negative
,
LFC in I dunno who you are or what you do but you gv me a VERY GOOD REASON to not come n stay in the US till Swiggy doesn t make inroads there irrespective of a certain orange head thinks of me or my countrymen,positive
,
Well now my order stands cancel WoW Oscar for worst service goes to in and refund will come in 24 hours just how bad your service can get Shame on this service style,negative
,
Please deactivate my account and the reason being false customer service Have had enough of these scum replies by your team Swiggy doesn t cares,negative
,
Pathetic service for Swiggy Super customers Order No 25114314792,negative
,
in your call guys says to chat and chat guys says to call dony you guys understand the pain for customer Query reg order number 25019513221,neutral
,
in Join Swiggy Super to stay Super Hungry This should have been an apt marketing mantra for Swiggy Waste 1 hour and then tell the customer that the order cannot be delivered Slow claps,positive
,
in Placed an order but an item was missing Ordered 2 sandwiches but received only 1 On complaining they told me that they cant do anything I will not order anything from here now because i would not b able to do anything incase they dont deliver the item which is expensiv,negative
,
in No one bothered to deliver my order placed on 10th Nov app still shows awaited restaurant confirmation and now after repeated follow ups refund has not been initiated even after 2 days Pathetic swiggy customer care service,negative
,
ordered food at 9pm 1 5 hrs and it s still not here Your chat support won t even process the refund The driver doesn t have the decency to take calls Oh and here s a cherry on the cake Same order same restaurant from in ordered at 10 pm reached in 25 mins,neutral
,
RT roshanshah in Disappointed with your service at Trivandrum Infinite delay to confirm order If there is nothing left the sh,negative
,
in Disappointed with your service at Trivandrum Infinite delay to confirm order If there is nothing left the shop has closed just put a sign And also something s wrong with your app too it says currently unserviceable now and then swiggy EpicFail Disappointed,negative
,
RT Strangely swiggy doesn t endorses the swiggy pop orders and shuns away responsibility of swiggy pop orders Yet its called,negative
,
who is your regressive author on this How is it demeaning if a mom doesn t want to cook swiggy these are brilliant ads Bravo,positive
,
It s a nightmare of a service from in,neutral
,
After all dis shame swiggy not picking call or r plyng via tweets,neutral
,
Hey in where is my order it s been over 2 hours now,neutral
,
,neutral
,
kashyap in Why he is eating dead bodies of animals Is that hygienic,negative
,
in update I received a call from with a very understanding person on the other end of the call My refund has been initiated A very bad experience overall but happy with the response hopingforquickrefund,negative
,
in placed order at 0830 and now its 1020 Ur customer care monkeys are following scripted conversation I m dyin of hunger here You guys are taking customers for granted,neutral
,
Goo swiggy dude,neutral
,
Spoke to biker he is al well nothingg hppened and swiggy as usual lied kutte hai same thng happnd earlier as well Will tag gurgaon police and ask if dis is allowed in,negative
,
RT Human hair found in good ordered from in,positive
,
in in not hygenic Boycott swiggy,neutral
,
RT Thanks in for screwing up my order and evening,positive
,
in Dis outlet is 10mins away frm me Worst experience,negative
,
Pathetic ppl in,negative
,
in so we call this pan friend momo,neutral
,
RT Interesting times India zomato swiggy,positive
,
Will not order from swiggy,neutral
,
in I will keep postimg until i get a compensation of 500,neutral
,
in Chor company Order not delivered and saying that it has been delivered I am swigyy super memeber This is a fake company Dont waste ur money on dis company Delivery agent marked ordered pick up without restaurant giving him the product order id 24403642234,negative
,
in Order got cancelled after 5 hours Horrible service from swiggy This has happened with me numerous times I think its of no use So will uninstall it soon,negative
,
in Time taken to deliver cold food is equal to one innings of a T20 match,negative
,
internet and online shopping Google search Amazon online shops UBER SWIGGY ZOMOTO Matrimony com,neutral
,
Swiggy shouldn t be sorry it s benchmadk failure of,negative
,
in Your delivery executive does not want to get change for 500 for my order and your support executive is saying that I will be charged 75 for a cancellation First time in 3 years of using swiggy that I am presented with a lose lose situation,positive
,
in found hair in food and your customer support team is all okay about it as if that s an everyday thing for you guys don t know why I chose to become a super member feel like closing the account,positive
,
RT Official in I have ordered via your app at 8 53pm now time is 10 02pm but still order not confirm Same ti,neutral
,
I ordered from my mom account Her mail I d is sailaja potnuru11 com Waiitng for ur response in,neutral
,
in I have ordered via your app at 8 53pm now time is 10 02pm but still order not confirm Same time am trying your call centre number and waiting more than 15min in line no one answered Very good service IND you re also doing like this some time,positive
,
No response from them because the status is not changed to deliver Attaching all the pics I don t know how much we have to wait worest experience form swiggy now a days Attaching all the screenshots which I tried to connect swiggy customer service support,positive
,
How can I disable and stop Zomato and Swiggy ads at night You name it we got it Order now It s Annoying ubereats delivery Ads,negative
,
Can you tell why Gayatrree Savali Shreeji Naan amp Paratha Rajratna Maha Khavaiyye Sharma Ice Cream Ganesh Bhel Rohit Wadewale aren t servicing to our area We have been buying from here since last 6 months Pl note these restros are still associated with Swiggy,neutral
,
in Ordered food in swiggy After delivering the food the status is not changed to delivered Ordered mushroom biriyani but I got tomato rice how crazy Trying to reach customer service by call and chat option in app,negative
,
india My registered email I d with swiggy is susheel chepur com Kindly check beacuse I order from bowl company everyday It s been 4 days I haven t seen it listed,positive
,
Get 50 off on your first 5 Swiggy orders with Coupon Swiggy CPA IN Coupon for at Swiggy CPA IN If you are looking for a Swiggy CPA IN coupon offering discount in the Food category this might be a g,positive
,
Human hair found in good ordered from in,positive
,
RT This is very regular with in shame you re doing with every other customes of yours th,negative
,
displeased with the quality of non veg thali served via swiggy order 25109870469,neutral
,
in Seems like you ve been served a leftover pizza I wonder why the government doesn t take any action against such errant behavior by the FBO s,positive
,
in why no one assist with my order it s almost 60 mins I didn t receive my order,neutral
,
This is very regular with in shame you re doing with every other customes of yours they re cheating customes,negative
,
See they cant even have a look at their timeline Swiggy RIP,neutral
,
in terrible experience with the swiggy my ist order but such was a condtion of my order that there was no option left than to throw that shame on swiggy,negative
,
Bill if we ate at chutneys 300 per person Bill if we ordered from chutneys 70 per person Thank you Swiggy,neutral
,
Swiggy,neutral
,
Pizza Margherita The way Queen Had Excellent Hygiene Rating By Swiggy love igers instadaily chefsword culinarychefs eater,positive
,
chica Swiggy se,neutral
,
I ll never finish the recommended list of burgers after seeing what s been done to my name,neutral
,
in Tried to speak with the customer care more than 4 times Voice clarity from the executive end is very poor Sounds like a computer voice Then why you are running the customer care service,negative
,
RT radhika in swiggy promo yrkkh,neutral
,
in I have ordered an food but because of your technical issue my order got cancelled from your side but amount deducted from account Atleast take an effort to give my amount back,neutral
,
Fully Loaded Pizza mumbai bombay chowpatty ordernow swiggy orderonline scootsy zomato ubereats foodpanda bandra colaba marinedrive marinelines churchgate narimanpoint cuffeparade gatewayofindia breachcandy kempscorner neapensearoad wardenroad Southmumbai,neutral
,
in order got delivered in packing wtf,negative
,
Strawberry Cream mumbai bombay chowpatty ordernow swiggy orderonline scootsy zomato ubereats foodpanda bandra colaba marinedrive marinelines churchgate narimanpoint cuffeparade gatewayofindia breachcandy kempscorner neapensearoad wardenroad BKC Southmumbai,neutral
,
in It was disgusting Nobody at my workplace had the courage to take a single bite,negative
,
in Hahahaha that s literally Dogs breakfast,positive
,
in Completely the mistake of the restaurant from where the order has been received And in should acknowledge and resolve the issue ASAP,positive
,
swiggy zomato food panda mere teen anmol ratan,negative
,
The focus on deeper pits rather than higher peaks,positive
,
in Yay That s what we like to hear Thanks for trying it out Amar Lakshmi,positive
,
india why can t I find bowlcompany anymore on swiggy in saidabad Hyderabad in,neutral
,
neither the order is getting delivered nor getting cancelled what to do swiggy,neutral
,
in what the hell is this,neutral
,
in Swiggy never disappoints you on delivery timeline Great job guys,positive
,
promoting Swiggy on yrkkh kaira mohsin p s tryin to record promo,neutral
,
The focus on deeper holes rather than higher peaks,positive
,
,neutral
,
RT ShivangiJoshi A K A Naira endorsing in yrkkh ITA2018 starplus bestactress swiggy,neutral
,
Hi in It s almost an hour now Where s my food,neutral
,
Hi team I have ordered a daal and paneer Daal is not fresh it s Smile too much and oily also paneen is too much oily please take it nassesary complete for it call me now 8527663464 in,positive
,
swiggy So Mumbai Delivery Boys after 75 mins of placing and order and after pick up call to say that they are strike and tell to cancel order now funded service delivery is hoing down the drains,negative
,
in Your services have degraded a hell lot for my area Down from 180 restaurants to just 6 Having issue since 2 weeks no improvement yet Seems we all need to cancel the Super Membership,positive
,
in Swiggy must be bycott and banned It s their culture to Cheat amp Repeat,neutral
,
Hi Rajib Really sorry you feel this way you can visit where all details have been mentioned Adithya,negative
,
I usually browse UberEats Swiggy FoodPanda Zomato for like 30 45mins and always end up eating at the hostel mess,negative
,
Swiggy,neutral
,
10th nov 08 08 Order Placed Money got Deducted After 2 days 12th nov 08 47 STATUS Order Recieved No Response from Swiggy,neutral
,
in Swiggy you need to cancel my super subscription its a way you are cheating your customers no mention of 99 plus t amp c while buyin,positive
,
ashish k in Maybe Never tried them,neutral
,
grv in can,neutral
,
FoodieCookie Happy Tummy In pic Spinach Corn Sandwich Rating 4 5 Price Rs 135 on in Follow ScrapBook for more foodie foodblogger,positive
,
in my issue is resolved Thomas M has helped me greatly kudos to him and thank you to the team to resolve my issue feeling happy Thomas M was a very gentleman guy,positive
,
in please check dm,neutral
,
India s young internet companies have had a great ride over the past decade with global investors queueing up to pump billions of dollars in them Yet it s not all good news as these firms have been burning huge amounts of cash,positive
,
in 25107139842 order is ready acc to restaurent person Then what is taking too long to be delivered,positive
,
in Yes It s supposed to be a 13inch pizza Both concerned parties BBC Viviana thane and Swiggy has denied any refund as of now,neutral
,
in Guys you should allow your users to track their swiggy spend give us data slicing tools and graphs Slowly it ll become a part of the monthly budget for a millennial,negative
,
in This Is Outrageous Looks Like The Chef amp Delivery Boy Both Are To Be Blamed,negative
,
in Is it just this much for 666 And that too in such condition,positive
,
EditorsNote Food tech platforms in and are fighting a pitched battle for supremacy backed by top investors Naspers and Alibaba Ed Editor india,positive
,
Five of India s best funded startups lost over a billion dollars in 2018,positive
,
mallesh in Adithya,neutral
,
in You guys are doing great cheers,positive
,
mallesh in And when our customers are happy we are happy Have a great week ahead Deepa,positive
,
I m sorry but chasing dominance in marketshare at the expense of profitability isn t going to work in the highly fickle and fluid Indian consumer space,negative
,
It s the small little things like this which makes a customer wanna go back and stick with a service provider Cheers in iamahappycustomer I m for sure not moving away,positive
,
in where is my refund,neutral
,
internet and online shopping Google search Amazon Flipkart online shops UBER OLA SWIGGY ZOMOTO Matrimony dot com,neutral
,
IND hello uber eats plz update ur app it s more password problem map problem compare to swiggy app map plz update ur problems,positive
,
Manohar2 in Official kaira ki advertisement me,neutral
,
in Official kaira Kaha dekha,neutral
,
IND in I had order sweet which very cold and hard in nature uber should have return and refund policy I already rated on your app Pls take action Order id D1A0A I will not again order on uber eats Pls take responsibility for the deliverd food start refund,negative
,
bombay dabbawalas saalo se mehnat Karjat hai par sara Kasara credit Swiggy le gya,neutral
,
RT Hey in the order was placed at 7 50 PM Delivery guy didnt reach the restaurant till 9 PM since last 40 mins the,neutral
,
ShivangiJoshi A K A Naira endorsing in yrkkh ITA2018 starplus bestactress swiggy,neutral
,
Rash driving Cutting signals riding without helmets has become the norm for your delivery executives in chennai in,negative
,
in Just got my pizzas delivered cold and completely unorganized Please take them Complete waste of my money,negative
,
Swiggy with Rapid Expansion every week new destination,positive
,
in the shittiest customer care service from Mr zubair,neutral
,
in heights of laxness 45 mins after which i complain and then i am told that order is recieved now delivery boy is not moving for 25 mins and mr Zubair from customer care doesnt give a shit Heights of lackadaisical attitude from swiggy,negative
,
You turned an outgoing customer from Swiggy to a permanent one with your exceptionally awesome support Thanks a ton again,positive
,
Swiggy ka chacha Uber food,neutral
,
MMYT WMT,neutral
,
in Yes swiggy is best restaurant,positive
,
Hi there Bhopal Now you can Swiggy in from your favourite restaurants,neutral
,
Wait one more blunder I asked my friend to see the delivery time in normal Swiggy account non super it says 43 minutes It s just bad way of making money,positive
,
in after the first problem again I order the cake and again u f ked my mind I wait more then 50 mins for my cake but didn t get the cake I called u delivery boy he was like aapka cake koi or leke nikal gya he to wo wps aayega tbhi delivery hoga,positive
,
Dear team Just purchased Swiggy super membership and placed an order with no 25105720877 And it says 50 60 minutes for delivery Woww is it really super delivery or you guys are making costumer fool,positive
,
grv in They are a benchmark Superb demonstration of social media savvy and seamless management across channels,positive
,
RT NPNGRV 22 SP,neutral
,
,neutral
,
in swiggy promo yrkkh,neutral
,
RT fam NPNGRV 2018 11 22 22,neutral
,
grv in Thanks for the acknowledgment You happy we happy Adithya,positive
,
,neutral
,
Swiggy Zomato Uber eats Dominoz do exist Just saying,neutral
,
No body can beat in in terms of customer service,neutral
,
in please help,neutral
,
I am eagerly waiting for that call and let your team know how things are managed at swiggy,neutral
,
RT Profit s not on mind startup India losses funding VentureCapital,neutral
,
Hi I got a coupon code from in as it s showing 3 Months Gourmet Passport membership for free it s not applied on the same way So How can I apply it and take the opportunity,positive
,
RT Five of Indias best funded startups lost over a billion dollars in 2018 startup India losses funding VentureCapital,positive
,
ananyaaa can you name any famous startup with a focus on Profitability instead of growth,positive
,
Five of Indias best funded startups lost over a billion dollars in 2018 startup India losses funding VentureCapital,positive
,
Profit s not on mind startup India losses funding VentureCapital,neutral
,
in Looking forward to see you Dineout soon Praneeth,neutral
,
in This kind of food served half box by the well repudiated sites oh all money spend on advertisement Not on services I also did complain from 3 times some time my order was cancelled and some time it s late They don t even care about there customer,positive
,
india Hey Praneeth It s never too late to spread some happiness Glad that you liked the surprise Keep swiggying Aishwarya,positive
,
Thankyou in amp india For the late diwali suprise,negative
,
status of my Swiggy refund with reference number P04 4729307 2108912,neutral
,
Karanvir targetted Sreesanth for his career moreover KaranvirBohra taunted Sreesanth and made him to leave while everyone was eating swiggy delivered food that to in Diwali is it maintaining line atleast Sree is not like him BiggBoss12,neutral
,
Good to see in getting cyclists to deliver food to their clients in Guwahati Great way to way I hope the other food delivery startups take note of this and start delivering in cycles too,positive
,
in Did they deliver at all,neutral
,
RT Swiggy Zomato Boys,neutral
,
in I had placed this order last night at around 9 o clock and it s still showing food being prepared moreover I m being charged for cancelling the order How can people depend on you if you have such marvellous services,neutral
,
